y,p,U_0,U_1,U_2
0,27.8868,0,0,0
5.0791e-05,27.7258,0.0968485,-2.74798e-06,4.87092e-22
0.000106156,27.7285,0.200214,-3.53193e-06,1.67539e-22
0.000166513,27.731,0.312809,-2.37718e-06,-1.42069e-21
0.000232318,27.7335,0.435462,-6.59934e-08,8.86502e-23
0.000304071,27.736,0.569076,3.33573e-06,1.06287e-21
0.000382317,27.7386,0.714633,8.13315e-06,-2.7635e-21
0.000467655,27.7413,0.873205,1.46765e-05,2.51843e-22
0.000560736,27.744,1.04596,2.33284e-05,3.01547e-21
0.000662276,27.7469,1.23416,3.44993e-05,2.99279e-22
0.000773056,27.7498,1.43919,4.86667e-05,-2.63848e-23
0.000893932,27.7528,1.66256,6.63827e-05,1.38776e-20
0.00102584,27.7559,1.90591,8.82799e-05,-1.28636e-21
0.00116981,27.7591,2.17101,0.000115079,-5.28649e-21
0.00132696,27.7624,2.45979,0.000147595,-2.8484e-20
0.00149852,27.7657,2.77437,0.000186745,1.01884e-20
0.00168585,27.7692,3.11701,0.000233551,-1.55228e-20
0.00189041,27.7727,3.49021,0.00028914,-4.08825e-20
0.00211383,27.7763,3.89663,0.000354748,2.09679e-20
0.00235788,27.7799,4.33919,0.000431704,2.93655e-20
0.00262452,27.7837,4.82104,0.000521426,6.68366e-20
0.00291587,27.7875,5.34558,0.000625393,-1.0103e-19
0.00323428,27.7913,5.91647,0.000745118,-2.92988e-20
0.00358232,27.7951,6.53767,0.000882106,1.52683e-20
0.00396282,27.799,7.21344,0.0010378,1.77067e-19
0.00437886,27.8028,7.94834,0.00121351,9.37375e-20
0.00483387,27.8066,8.74727,0.00141036,-1.03659e-19
0.00533158,27.8102,9.61545,0.00162931,2.1317e-19
0.00587609,27.8136,10.5584,0.00187116,3.38723e-20
0.00647192,27.8167,11.5821,0.00213552,-4.35307e-19
0.00712405,27.8192,12.6928,0.00241762,-2.9877e-19
0.00783792,27.8211,13.8968,0.00271062,2.00921e-19
0.00861955,27.8237,15.2011,0.00304943,1.55864e-19
0.00947556,27.8288,16.6127,0.00361159,-7.70961e-19
0.0104132,27.814,18.1228,0.00433552,8.92011e-19
0.0114014,27.7862,19.7122,0.00482969,1.31315e-18
0.0124582,27.7661,21.3808,0.00514662,-4.2513e-19
0.0135893,27.7431,23.1372,0.00551352,3.87837e-19
0.0148013,27.7156,24.985,0.00588863,-2.69592e-18
0.0161012,27.6829,26.927,0.00623751,-9.26273e-19
0.0174966,27.6436,28.9655,0.00655345,2.25302e-18
0.0189959,27.5958,31.1016,0.00684413,0
0.0206079,27.5372,33.3353,0.00712949,0
0.0223426,27.465,35.6641,0.00745184,-1.59212e-18
0.0242106,27.376,38.0829,0.00789374,-7.34587e-18
0.0262234,27.2657,40.5823,0.0085535,1.96332e-18
0.0283935,27.1265,43.1474,0.00933398,1.36406e-17
0.0307348,26.9512,45.7551,0.0097857,-9.43179e-18
0.0332619,26.7813,48.2672,0.0108378,-6.031e-18
0.0355637,26.6053,50.5199,0.0139842,9.34943e-18
0.0378721,26.3959,52.5284,0.018107,-5.36887e-18
0.0401872,26.1742,54.3399,0.0222385,8.57877e-18
0.0425097,25.9416,55.9448,0.0267233,1.22408e-17
0.0448399,25.6992,57.3346,0.0315753,-1.84443e-17
0.0471782,25.4492,58.5021,0.0367573,-1.71323e-17
