y,p,U_0,U_1,U_2
0.0127,14.4112,0,0,0
0.0127265,14.4105,0.0824274,-2.04267e-06,0
0.0127586,14.4088,0.177949,-8.67813e-06,0
0.0127974,14.4067,0.293379,-2.33492e-05,0
0.0128443,14.4042,0.432836,-5.07921e-05,0
0.0129011,14.4012,0.601275,-9.79495e-05,0
0.0129698,14.3976,0.80465,-0.000175225,0
0.0130528,14.3934,1.05011,-0.000298024,0
0.0131533,14.3883,1.34621,-0.000488969,0
0.0132749,14.3822,1.70319,-0.000781077,0
0.013422,14.375,2.13324,-0.00122226,0
0.0136,14.3666,2.65088,-0.0018816,0
0.0138152,14.3566,3.27326,-0.00285801,0
0.0140756,14.3451,4.02058,-0.00429192,0
0.0143906,14.3319,4.9165,-0.00638077,0
0.0147717,14.317,5.98845,-0.00939881,0
0.0152327,14.3007,7.26799,-0.0137213,0
0.0157904,14.2835,8.79093,-0.0198516,0
0.0164651,14.2668,10.5973,-0.0284492,0
0.0172812,14.2532,12.7307,-0.040349,0
0.0182685,14.2476,15.2378,-0.0565624,0
0.0194629,14.2589,18.1661,-0.0782407,0
0.0209078,14.3027,21.5613,-0.106582,0
0.0226557,14.4065,25.4621,-0.142669,0
0.0247702,14.6169,29.8927,-0.18725,0
0.0273281,15.0112,34.8487,-0.240471,0
0.0304226,15.7132,40.2751,-0.301618,0
0.034166,16.9092,46.0327,-0.368855,0
0.0386945,18.8534,51.8536,-0.439254,0
0.0441728,21.8595,57.2975,-0.508083,0
0.0508,25.967,61.5678,-0.567692,0
0.05715,30.5134,63.9418,-0.608477,0
0.0635,35.098,64.555,-0.628298,0
0.06985,39.4904,63.5051,-0.62475,0
0.0762,43.4643,60.7001,-0.593304,0
0.0826262,46.7137,56.1139,-0.533382,0
0.0879721,48.9255,50.4891,-0.457717,0
0.0924193,50.2912,44.5701,-0.37944,0
0.0961189,51.0998,38.7704,-0.305773,0
0.0991966,51.5586,33.3468,-0.240453,0
0.101757,51.807,28.4351,-0.185068,0
0.103887,51.9328,24.0868,-0.139766,0
0.105659,51.9893,20.2994,-0.103817,0
0.107133,52.0077,17.0394,-0.0760129,0
0.108359,52.0061,14.2569,-0.0549705,0
0.109379,51.9946,11.8967,-0.0393306,0
0.110228,51.9789,9.90355,-0.027879,0
0.110934,51.9621,8.22597,-0.0195975,0
0.111521,51.9457,6.81745,-0.0136706,0
0.11201,51.9306,5.63703,-0.00946646,0
0.112416,51.9171,4.64918,-0.00650742,0
0.112754,51.9051,3.82341,-0.00443939,0
0.113035,51.8947,3.13373,-0.00300366,0
0.113269,51.8858,2.55813,-0.00201341,0
0.113464,51.8782,2.07801,-0.00133505,0
0.113626,51.8717,1.67771,-0.000873744,0
0.113761,51.8662,1.3441,-0.000562674,0
0.113873,51.8616,1.06615,-0.000354998,0
0.113966,51.8577,0.834633,-0.000218058,0
0.114043,51.8544,0.641835,-0.000129196,0
0.114108,51.8516,0.481308,-7.27634e-05,0
0.114162,51.8493,0.347671,-3.80063e-05,0
0.114206,51.8474,0.236432,-1.75926e-05,0
0.114243,51.8458,0.143847,-6.58024e-06,0
0.114274,51.8444,0.0667945,-1.55661e-06,0
0.1143,51.8439,0,0,0
