y,Ux,Uy,p
0.0,0.0,0.0,85.1913
1.15767e-05,0.00538007,-1.41713e-06,85.1902
2.48888e-05,0.0113889,-5.84274e-06,85.1875
4.02163e-05,0.0183268,-1.49932e-05,85.1843
5.78882e-05,0.0263518,-3.09267e-05,85.1807
7.82917e-05,0.0356514,-5.64022e-05,85.1766
0.000101883,0.0464498,-9.52794e-05,85.1718
0.000129201,0.059015,-0.000152899,85.1663
0.000160882,0.0736692,-0.000236618,85.1599
0.000197681,0.0908009,-0.00035657,85.1526
0.000240493,0.110881,-0.00052672,85.144
0.000290379,0.134481,-0.000766329,85.1341
0.000348605,0.162301,-0.00110198,85.1226
0.000416677,0.195199,-0.00157038,85.1093
0.000496392,0.234239,-0.00222229,85.0938
0.000589899,0.280737,-0.00312792,85.0757
0.000699764,0.336342,-0.00438443,85.0548
0.000829066,0.403132,-0.00612635,85.0304
0.000981493,0.483739,-0.00853993,85.0021
0.00116147,0.581527,-0.0118828,84.9693
0.00137434,0.700835,-0.016511,84.9313
0.00162648,0.8473,-0.022916,84.8874
0.00192562,1.02832,-0.0317748,84.8366
0.00228106,1.25367,-0.044012,84.7787
0.00270401,1.51534,-0.0595528,84.7189
0.00308362,1.78481,-0.0767107,84.6642
0.00344943,2.053,-0.0946732,84.6143
0.0038084,2.32782,-0.11379,84.5672
0.00416715,2.61404,-0.134285,84.5218
0.00453208,2.91714,-0.156471,84.4774
0.00490948,3.24332,-0.180742,84.4331
0.00530563,3.59973,-0.207567,84.3882
0.00572698,3.99462,-0.237493,84.342
0.00618017,4.43764,-0.27114,84.2938
0.00667222,4.9194,-0.307638,84.2447
0.0071306,5.4122,-0.344725,84.1972
0.00758188,5.90975,-0.381793,84.1516
0.00802708,6.4189,-0.419238,84.1067
0.00846704,6.93983,-0.45697,84.0622
0.00890252,7.47272,-0.494908,84.0177
0.00933414,8.01768,-0.532977,83.9728
0.00976245,8.57479,-0.571108,83.9273
0.0101879,9.14406,-0.609235,83.8808
0.0106109,9.72545,-0.647294,83.8332
0.0110319,10.3189,-0.685227,83.7842
0.011451,10.9242,-0.722975,83.7336
0.0118686,11.5411,-0.760484,83.6812
0.0122849,12.1695,-0.797702,83.6267
0.0127,12.7938,-0.833708,83.5714
0.0130748,13.4065,-0.86814,83.5159
0.0134728,14.0423,-0.90293,83.457
0.0138957,14.7291,-0.939477,83.3916
0.0143452,15.4713,-0.977791,83.3188
0.0148233,16.2733,-1.01787,83.2374
0.0153318,17.1399,-1.05968,83.1463
0.0158732,18.0761,-1.10317,83.0437
0.0164499,19.087,-1.14828,82.9281
0.0170647,20.178,-1.19489,82.7974
0.0177206,21.3543,-1.24287,82.6493
0.018421,22.6212,-1.29205,82.4811
0.0191698,23.9835,-1.34221,82.2896
0.0199712,25.5004,-1.39497,82.0623
0.0209503,27.2401,-1.45178,81.7829
0.0220143,29.1678,-1.51048,81.449
0.0231718,31.2383,-1.56896,81.0595
0.0244326,33.4484,-1.62667,80.6056
0.0258078,35.791,-1.68303,80.0777
0.0273099,38.2546,-1.7375,79.4652
0.0289533,40.8232,-1.78951,78.7573
0.0307544,43.4764,-1.83846,77.9421
0.0327322,46.1885,-1.8836,77.0078
0.0349085,48.9281,-1.92391,75.9428
0.0373085,51.6551,-1.95803,74.736
0.0399613,54.3171,-1.9841,73.3795
0.0429011,56.845,-1.99987,71.8649
0.0461675,59.1468,-2.00234,70.1988
0.0498071,61.1013,-1.98849,68.3733
0.0538744,62.5497,-1.9534,66.4291
0.0584337,63.2819,-1.89324,64.414
0.0631441,63.1281,-1.81063,62.4205
0.0680914,61.9544,-1.69933,60.5565
0.0732937,59.5448,-1.55426,58.7832
0.0787704,55.6071,-1.3659,57.2215
0.0845614,49.8462,-1.13253,55.8191
0.0903998,42.8194,-0.884601,54.7954
0.0945097,36.2163,-0.668462,54.2488
0.0979158,30.4004,-0.494671,53.8681
0.100739,25.2832,-0.358933,53.6397
0.103078,20.9063,-0.255637,53.4746
0.105017,17.2297,-0.180005,53.3606
0.106624,14.1747,-0.12558,53.2742
0.107956,11.6514,-0.0870493,53.2071
0.10906,9.57333,-0.0600397,53.1533
0.109974,7.86388,-0.0412424,53.1093
0.110733,6.45773,-0.0282285,53.073
0.111361,5.30051,-0.0192546,53.0428
0.111882,4.34748,-0.0130868,53.0177
0.112314,3.56198,-0.00886023,52.9968
0.112671,2.91406,-0.00597218,52.9793
0.112968,2.37924,-0.00400463,52.9647
0.113214,1.93749,-0.0026686,52.9526
0.113417,1.57242,-0.0017648,52.9425
0.113586,1.27057,-0.00115615,52.9341
0.113726,1.02089,-0.000748484,52.9272
0.113842,0.814301,-0.000477298,52.9214
0.113938,0.643307,-0.000298459,52.9166
0.114018,0.501745,-0.000181843,52.9126
0.114084,0.384525,-0.000106939,52.9092
0.114139,0.287444,-5.98175e-05,52.9065
0.114184,0.207031,-3.10481e-05,52.9042
0.114222,0.140416,-1.42883e-05,52.9023
0.114253,0.0852259,-5.31517e-06,52.9007
0.114279,0.0394978,-1.25071e-06,52.8994
0.1143,0.0,0.0,52.8989
