y,Ux,Uy,p
0.0,0.0,0.0,-0.00189867
3.14746e-05,0.00119452,-4.81642e-08,-0.0019025
6.60267e-05,0.00247759,-2.11126e-07,-0.00190262
0.000103967,0.00388666,-5.32856e-07,-0.00190275
0.000145639,0.00543453,-1.05473e-06,-0.0019029
0.00019142,0.00713536,-1.82741e-06,-0.00190306
0.000241731,0.00900481,-2.91613e-06,-0.00190324
0.000297035,0.0110602,-4.40173e-06,-0.00190345
0.000357842,0.0133208,-6.38312e-06,-0.00190368
0.00042472,0.0158077,-8.9813e-06,-0.00190394
0.000498295,0.0185446,-1.23442e-05,-0.00190423
0.00057926,0.0215576,-1.66523e-05,-0.00190455
0.000668385,0.0248756,-2.21259e-05,-0.00190491
0.000766518,0.0285309,-2.90328e-05,-0.00190531
0.000874603,0.0325592,-3.76988e-05,-0.00190575
0.000993684,0.0370003,-4.85193e-05,-0.00190623
0.00112492,0.0418984,-6.19736e-05,-0.00190677
0.00126959,0.0473029,-7.86414e-05,-0.00190736
0.00142912,0.0532688,-9.92232e-05,-0.00190802
0.00160509,0.0598578,-0.000124562,-0.00190873
0.00179926,0.0671386,-0.000155672,-0.00190952
0.00201356,0.0751886,-0.000193767,-0.00191039
0.00225017,0.084095,-0.000240296,-0.00191135
0.00251148,0.093956,-0.000296979,-0.00191241
0.00280017,0.104883,-0.000365849,-0.00191358
0.00311919,0.117004,-0.000449288,-0.00191488
0.00347186,0.130463,-0.000550063,-0.00191635
0.00386182,0.145429,-0.000671347,-0.00191801
0.00429318,0.162097,-0.000816722,-0.00191992
0.00477045,0.180695,-0.000990143,-0.00192216
0.00529872,0.201491,-0.00119583,-0.00192484
0.00588358,0.224802,-0.00143809,-0.00192814
0.00653133,0.251004,-0.00172116,-0.00193231
0.00724893,0.280539,-0.00204903,-0.00193776
0.00804418,0.313064,-0.00241381,-0.00194482
0.00884411,0.347549,-0.00279691,-0.00195364
0.00967732,0.383903,-0.00319067,-0.00196455
0.0105467,0.422542,-0.00359332,-0.00197817
0.0114554,0.463566,-0.00399885,-0.00199515
0.0124068,0.507008,-0.00440084,-0.00201629
0.0134046,0.552816,-0.00479291,-0.00204253
0.0144529,0.600833,-0.00516893,-0.00207496
0.015556,0.650783,-0.0055233,-0.00211483
0.0167186,0.702258,-0.00585122,-0.00216357
0.0179461,0.754723,-0.00614885,-0.00222276
0.0192439,0.80752,-0.00641346,-0.00229414
0.0206183,0.859895,-0.00664332,-0.00237954
0.0220757,0.911024,-0.00683646,-0.00248073
0.0236235,0.958961,-0.00698835,-0.00259626
0.0251188,1.00167,-0.0070995,-0.00272228
0.0266308,1.03919,-0.00717749,-0.00285801
0.0281605,1.0721,-0.00722859,-0.00300403
0.0297091,1.10057,-0.00725636,-0.00315956
0.0312776,1.12483,-0.00726412,-0.00332379
0.0328671,1.14518,-0.0072548,-0.00349589
0.0344791,1.16193,-0.00723123,-0.00367506
0.0361147,1.17547,-0.0071962,-0.00386054
0.0377755,1.18616,-0.0071524,-0.00405162
0.0394628,1.1944,-0.00710224,-0.00424769
0.0411783,1.2006,-0.00704739,-0.00444814
0.0429237,1.20512,-0.00698889,-0.00465244
0.0447007,1.20835,-0.00692792,-0.00486307
0.0466033,1.21058,-0.00686365,-0.00508301
0.0485581,1.21204,-0.00679642,-0.00531033
0.0505693,1.21293,-0.0067264,-0.00554265
0.052641,1.21345,-0.006653,-0.00578012
0.0547778,1.21372,-0.00657448,-0.00602277
0.0569848,1.21381,-0.00648733,-0.00627037
0.0592671,1.21373,-0.00639297,-0.00651605
0.0613745,1.21344,-0.00629746,-0.00675146
0.0634562,1.21285,-0.00619665,-0.00697828
0.0655323,1.21182,-0.00608655,-0.00720212
0.0676215,1.21011,-0.00596397,-0.0074249
0.0697419,1.20738,-0.00582458,-0.00764827
0.0719109,1.20315,-0.00566276,-0.00787364
0.0741455,1.19669,-0.00547113,-0.00810204
0.0764622,1.18697,-0.00524007,-0.00833409
0.0788777,1.17246,-0.00495704,-0.00856976
0.0814085,1.15099,-0.00460595,-0.0088081
0.0840713,1.11943,-0.00416701,-0.00904682
0.0868834,1.0735,-0.00361815,-0.00928169
0.0898623,1.00746,-0.0029383,-0.00950581
0.093026,0.91439,-0.00210651,-0.00970805
0.0963936,0.787577,-0.00112176,-0.00987453
0.0999848,0.642155,-0.000253449,-0.00998875
0.102408,0.515334,0.000204151,-0.0100497
0.10442,0.416778,0.000369836,-0.0100771
0.106092,0.336893,0.000414106,-0.0100913
0.10748,0.272837,0.000387339,-0.0100987
0.108635,0.221595,0.000330007,-0.0101025
0.109594,0.180519,0.000265554,-0.0101044
0.110392,0.147462,0.000205646,-0.0101053
0.111055,0.120737,0.000154937,-0.0101057
0.111607,0.0990354,0.000114345,-0.0101058
0.112067,0.0813421,8.30336e-05,-0.0101058
0.112449,0.0668653,5.95039e-05,-0.0101057
0.112768,0.0549832,4.21608e-05,-0.0101056
0.113033,0.0452042,2.95672e-05,-0.0101055
0.113254,0.037137,2.05313e-05,-0.0101054
0.113439,0.0304682,1.4113e-05,-0.0101054
0.113593,0.0249454,9.59463e-06,-0.0101054
0.113721,0.0203641,6.44036e-06,-0.0101055
0.113828,0.0165584,4.25676e-06,-0.0101056
0.113918,0.0133928,2.75878e-06,-0.0101058
