y,p,Ux,Uy,Uz
0.0,0.678788,0.0,0.0,0.0
1.15761e-05,0.678786,0.00043469,-2.02309e-08,-1.92452e-26
2.48734e-05,0.678781,0.000918527,-8.20367e-08,4.19139e-27
4.01674e-05,0.678775,0.00147496,-2.09166e-07,-1.86354e-25
5.77808e-05,0.678768,0.0021157,-4.30136e-07,3.19061e-26
7.80931e-05,0.67876,0.00285452,-7.82938e-07,1.31121e-24
0.000101551,0.678751,0.00370758,-1.32058e-06,-2.15506e-25
0.00012868,0.67874,0.00469394,-2.11631e-06,-1.22909e-24
0.000160103,0.678728,0.00583609,-3.27097e-06,-6.90055e-24
0.000196555,0.678713,0.00716057,-4.9233e-06,1.12669e-24
0.000238906,0.678697,0.00869878,-7.26444e-06,-1.0015e-23
0.00028819,0.678677,0.0104879,-1.05579e-05,2.49105e-23
0.000345634,0.678655,0.012572,-1.51675e-05,1.74324e-23
0.000412701,0.678629,0.0150036,-2.15962e-05,3.11095e-23
0.00049113,0.678599,0.0178446,-3.05399e-05,-1.21987e-23
0.000583001,0.678564,0.0211692,-4.29636e-05,-6.5768e-23
0.000690795,0.678522,0.0250652,-6.02064e-05,6.21592e-24
0.000817485,0.678474,0.0296376,-8.41302e-05,-7.11134e-25
0.000966628,0.678418,0.0350111,-0.000117326,5.21221e-22
0.00114249,0.678352,0.0413345,-0.000163403,-8.84706e-23
0.00135021,0.678275,0.0487848,-0.000227394,-6.13599e-22
0.00159594,0.678185,0.0575732,-0.000316316,3.28486e-21
0.00188709,0.678081,0.0679507,-0.000439948,3.21148e-21
0.0022326,0.677959,0.0802161,-0.000611913,-2.01567e-21
0.00264324,0.677827,0.0936918,-0.000832908,3.96677e-21
0.00301382,0.677699,0.106867,-0.00108116,-1.55033e-21
0.00337253,0.67758,0.119384,-0.00134616,-1.14768e-20
0.00372616,0.677465,0.131667,-0.0016335,7.55552e-21
0.00408118,0.677352,0.143944,-0.00194734,-4.12688e-21
0.00444384,0.677238,0.15643,-0.00229352,-7.62654e-21
0.00482036,0.677123,0.169336,-0.00267949,7.92028e-21
0.00521696,0.677003,0.182869,-0.00311448,-4.2288e-21
0.00564005,0.676878,0.197239,-0.0036096,5.02099e-21
0.00609626,0.676746,0.212659,-0.00417814,-3.79927e-22
0.00659261,0.676611,0.228674,-0.00480826,-4.73965e-21
0.00705528,0.676481,0.244327,-0.00546206,4.73024e-21
0.00751122,0.676356,0.259473,-0.006129,-2.28547e-21
0.00796137,0.676235,0.274362,-0.00681646,-1.02619e-22
0.00840655,0.676117,0.289027,-0.00752324,2.26796e-21
0.00884746,0.676,0.303496,-0.0082482,2.32272e-21
0.00928472,0.675886,0.317793,-0.00899029,1.17034e-23
0.00971883,0.675773,0.331938,-0.00974848,-2.22789e-21
0.0101502,0.675661,0.345949,-0.0105218,0.0
0.0105793,0.675551,0.359842,-0.0113093,0.0
0.0110064,0.67544,0.373631,-0.0121099,0.0
0.0114318,0.675329,0.387325,-0.0129228,1.07714e-21
0.0118557,0.675219,0.400937,-0.0137469,2.44649e-24
0.0122784,0.675108,0.414474,-0.0145813,-1.07469e-21
0.0127,0.674999,0.427625,-0.0154047,2.53824e-22
0.0130806,0.674893,0.440273,-0.0162076,-1.77971e-23
0.0134847,0.674783,0.453143,-0.0170345,-2.46514e-21
0.013914,0.674665,0.466789,-0.017921,-1.03812e-21
0.0143703,0.674538,0.48126,-0.0188706,1.23809e-21
0.0148553,0.6744,0.496612,-0.0198872,-1.16402e-21
0.0153712,0.67425,0.512906,-0.0209743,3.80668e-21
0.0159202,0.674087,0.530208,-0.0221357,2.39949e-21
0.0165049,0.673909,0.548591,-0.0233746,-2.65373e-21
0.0171279,0.673712,0.568132,-0.0246939,5.41994e-21
0.0177923,0.673496,0.588918,-0.0260963,5.84205e-21
0.0185014,0.673256,0.611044,-0.0275832,-1.11044e-20
0.019259,0.672989,0.634609,-0.0291554,-5.89067e-21
0.0200694,0.672678,0.660667,-0.030874,5.62665e-21
0.0210597,0.672303,0.690447,-0.0328041,-6.06763e-21
0.022135,0.67186,0.723449,-0.0348904,5.49114e-21
0.0233042,0.671349,0.759066,-0.037067,6.08193e-21
0.0245767,0.670755,0.797467,-0.0393126,-5.41452e-21
0.0259635,0.670063,0.838799,-0.0415975,1.07309e-20
0.027477,0.669255,0.88317,-0.0438819,4.10686e-22
0.0291313,0.668309,0.930614,-0.0461154,-2.04523e-20
0.0309426,0.667204,0.981058,-0.0482355,-1.69481e-22
0.0329293,0.665913,1.03426,-0.0501689,9.29584e-21
0.0351127,0.66441,1.08975,-0.0518319,-1.67616e-20
0.0375174,0.662667,1.14673,-0.0531333,1.3938e-20
0.0401719,0.66066,1.204,-0.0539762,2.3312e-20
0.043109,0.658366,1.25978,-0.0542612,-1.31715e-20
0.0463675,0.655778,1.31165,-0.0538804,-1.21401e-20
0.0499923,0.652877,1.35629,-0.0527266,-5.50608e-21
0.0540361,0.649733,1.38925,-0.0506409,4.79523e-21
0.058561,0.646336,1.40458,-0.0475469,6.78488e-21
0.063244,0.642902,1.39719,-0.0436166,1.03655e-22
0.0681679,0.639677,1.36376,-0.0388541,-2.20868e-21
0.0733511,0.636635,1.30069,-0.0332802,-9.94189e-22
0.0788133,0.633998,1.20418,-0.0269717,-5.2872e-22
0.0845936,0.631684,1.07187,-0.0202705,9.5638e-22
0.0904403,0.630028,0.918805,-0.0142671,3.18416e-21
0.0945445,0.629147,0.78064,-0.00992738,-2.08818e-21
0.0979458,0.628533,0.661815,-0.00689551,-2.8137e-21
0.100764,0.628145,0.557717,-0.00475872,1.79729e-21
0.1031,0.627863,0.467939,-0.00326365,5.38799e-24
